timestamp,event_type,user,source_host,destination_host,action,severity
2026-09-11T10:02:47,login_attempt,rahul,PC-18,DB-01,write,medium
2026-09-11T10:04:47,service_request,sanchi,PC-12,SRV-03,request,low
2026-09-11T10:09:28,service_request,amit,PC-31,SRV-01,query,medium
2026-09-11T10:15:10,database_access,rahul,SRV-02,DB-01,read_sensitive_table,high
2026-09-11T10:16:03,service_request,amit,PC-31,SRV-03,request,medium
2026-09-11T10:41:46,file_upload,neha,PC-07,SRV-02,read,low
2026-09-11T10:51:53,api_request,admin,PC-31,SRV-03,read,low
2026-09-11T11:12:59,database_query,sanchi,PC-01,SRV-03,read,low
2026-09-11T11:27:15,api_request,neha,PC-12,DB-02,request,medium
2026-09-11T11:31:15,login_attempt,rahul,PC-25,DB-02,read,medium
2026-09-11T11:40:00,login_attempt,neha,PC-18,SRV-02,read,medium
2026-09-11T11:48:27,file_upload,neha,PC-25,SRV-02,write,low
2026-09-11T11:49:24,database_query,rahul,PC-07,SRV-01,request,medium
2026-09-11T11:50:26,database_query,sanchi,PC-31,SRV-02,request,medium
2026-09-11T11:55:55,database_query,priya,PC-01,SRV-02,write,medium
2026-09-11T11:58:06,database_query,neha,PC-07,SRV-02,query,medium
2026-09-11T11:58:33,api_request,neha,PC-12,DB-02,write,medium
2026-09-11T11:59:04,api_request,sanchi,PC-01,DB-01,request,medium
2026-09-11T12:04:01,file_upload,amit,PC-18,SRV-03,read,medium
2026-09-11T12:22:37,login_attempt,rahul,PC-12,SRV-03,request,medium
2026-09-11T12:23:20,login_attempt,sanchi,PC-31,DB-02,write,low
2026-09-11T12:38:34,database_query,sanchi,PC-25,SRV-01,request,low
2026-09-11T13:07:13,login_attempt,priya,PC-12,DB-02,write,low
2026-09-11T13:19:05,file_upload,priya,PC-25,DB-01,request,medium
2026-09-11T13:34:33,login_attempt,neha,PC-07,SRV-03,request,medium
2026-09-11T13:56:09,database_query,admin,PC-01,SRV-03,request,medium
2026-09-11T14:29:03,login_attempt,sanchi,PC-31,SRV-01,request,low
2026-09-11T14:49:02,api_request,priya,PC-07,DB-02,write,medium
2026-09-11T14:49:28,file_upload,priya,PC-31,SRV-01,read,medium
2026-09-11T14:49:49,service_request,priya,PC-31,SRV-02,request,low
2026-09-11T14:52:16,file_upload,sanchi,PC-18,SRV-03,write,medium
2026-09-11T15:12:52,api_request,sanchi,PC-31,SRV-02,query,medium
2026-09-11T15:24:44,api_request,amit,PC-25,SRV-01,write,medium
2026-09-11T15:34:30,database_query,neha,PC-31,SRV-01,query,low
2026-09-11T15:43:11,file_upload,rahul,PC-01,SRV-03,write,medium
2026-09-11T15:51:33,database_query,amit,PC-12,SRV-01,query,low
2026-09-11T15:51:36,database_query,neha,PC-07,DB-02,write,low
2026-09-11T15:57:12,database_query,sanchi,PC-31,SRV-01,read,medium
2026-09-11T16:05:40,api_request,amit,PC-25,SRV-01,write,low
2026-09-11T16:06:45,login_attempt,priya,PC-01,SRV-03,read,medium
2026-09-11T16:16:10,service_request,sanchi,PC-18,SRV-02,query,low
2026-09-11T16:19:32,file_upload,neha,PC-07,SRV-01,read,medium
2026-09-11T16:36:10,service_request,priya,PC-25,SRV-01,query,low
2026-09-11T16:56:19,login_attempt,priya,PC-12,SRV-01,read,low
2026-09-11T17:02:42,database_query,sanchi,PC-18,DB-01,request,low
2026-09-11T17:04:59,service_request,amit,PC-01,DB-01,request,medium
2026-09-11T17:16:11,file_upload,rahul,PC-01,SRV-02,request,low
2026-09-11T17:37:24,login_attempt,neha,PC-25,SRV-02,read,low
2026-09-11T17:38:03,database_query,neha,PC-31,SRV-01,request,low
2026-09-11T17:38:52,file_upload,priya,PC-31,SRV-03,query,low
2026-09-11T17:57:12,service_request,amit,PC-25,DB-01,read,low
2026-09-11T18:12:43,service_request,priya,PC-31,SRV-03,write,low
2026-09-11T18:33:21,service_request,rahul,PC-18,DB-01,query,low
2026-09-11T18:38:55,service_request,rahul,PC-01,DB-01,query,low
2026-09-11T19:07:21,file_upload,neha,PC-01,SRV-03,read,medium
2026-09-11T19:19:00,database_query,priya,PC-07,DB-01,request,medium
2026-09-11T19:30:29,file_upload,priya,PC-31,SRV-03,write,low
2026-09-11T19:35:24,api_request,neha,PC-12,DB-02,write,low
2026-09-11T19:47:49,api_request,priya,PC-18,DB-02,read,medium
2026-09-11T19:53:49,login_attempt,admin,PC-31,DB-01,write,low
2026-09-11T20:03:22,service_request,amit,PC-18,SRV-01,query,low
2026-09-11T20:07:38,service_request,rahul,PC-25,SRV-02,query,medium
2026-09-11T20:14:59,api_request,admin,PC-18,DB-01,query,low
2026-09-11T20:34:56,api_request,priya,PC-01,SRV-03,write,medium
2026-09-11T20:42:38,file_upload,admin,PC-07,SRV-01,write,low
