timestamp,event_type,user,source_ip,source_host,severity
2026-09-11T10:00:30,login_failed,rahul,192.168.1.25,PC-25,medium
2026-09-11T10:01:10,login_success,rahul,192.168.1.25,PC-25,medium
2026-09-11T10:04:42,password_change,admin,192.168.1.25,PC-12,medium
2026-09-11T10:05:36,logout,sanchi,192.168.1.46,PC-31,medium
2026-09-11T10:33:31,password_change,priya,192.168.1.17,PC-07,low
2026-09-11T10:44:31,login_failed,amit,192.168.1.17,PC-07,low
2026-09-11T11:03:24,password_change,admin,192.168.1.25,PC-12,low
2026-09-11T11:20:52,session_timeout,neha,192.168.1.40,PC-25,medium
2026-09-11T11:24:35,login_failed,admin,192.168.1.17,PC-07,medium
2026-09-11T11:27:09,login_failed,sanchi,192.168.1.17,PC-07,low
2026-09-11T11:34:55,session_timeout,priya,192.168.1.33,PC-18,low
2026-09-11T11:36:18,login_failed,rahul,192.168.1.25,PC-12,medium
2026-09-11T11:42:55,login_failed,rahul,192.168.1.17,PC-07,medium
2026-09-11T11:49:42,login_success,amit,192.168.1.17,PC-07,medium
2026-09-11T11:49:50,logout,sanchi,192.168.1.33,PC-18,low
2026-09-11T11:50:30,login_success,priya,192.168.1.40,PC-25,low
2026-09-11T12:04:15,login_failed,amit,192.168.1.11,PC-01,low
2026-09-11T12:04:52,password_change,rahul,192.168.1.40,PC-25,low
2026-09-11T12:12:24,logout,admin,192.168.1.46,PC-31,low
2026-09-11T12:19:52,session_timeout,sanchi,192.168.1.11,PC-01,low
2026-09-11T12:32:30,logout,sanchi,192.168.1.33,PC-18,medium
2026-09-11T12:40:02,session_timeout,amit,192.168.1.17,PC-07,medium
2026-09-11T12:41:21,session_timeout,admin,192.168.1.25,PC-12,medium
2026-09-11T12:43:27,logout,admin,192.168.1.25,PC-12,medium
2026-09-11T12:46:01,login_failed,amit,192.168.1.46,PC-31,low
2026-09-11T12:52:30,session_timeout,amit,192.168.1.33,PC-18,low
2026-09-11T12:55:43,password_change,amit,192.168.1.11,PC-01,medium
2026-09-11T13:17:26,login_success,admin,192.168.1.11,PC-01,medium
2026-09-11T13:24:00,logout,neha,192.168.1.46,PC-31,low
2026-09-11T13:31:44,logout,priya,192.168.1.33,PC-18,medium
2026-09-11T13:39:14,session_timeout,admin,192.168.1.11,PC-01,medium
2026-09-11T13:46:17,login_success,neha,192.168.1.25,PC-12,low
2026-09-11T13:48:30,password_change,neha,192.168.1.25,PC-12,medium
