timestamp,event_type,user,source_host,action,severity
2026-09-11T10:02:20,process_execution,rahul,PC-25,powershell,high
2026-09-11T10:06:10,credential_access,rahul,PC-25,credential_dump,high
2026-09-11T10:12:10,privilege_escalation,rahul,SRV-02,token_abuse,high
2026-09-11T10:30:46,service_start,priya,PC-12,powershell,low
2026-09-11T10:39:49,file_access,sanchi,PC-12,explorer,medium
2026-09-11T10:54:40,service_start,amit,PC-25,powershell,low
2026-09-11T10:56:36,software_update,priya,PC-07,powershell,medium
2026-09-11T11:21:50,process_exit,rahul,PC-12,powershell,low
2026-09-11T11:22:09,service_start,rahul,PC-12,chrome,low
2026-09-11T11:23:40,file_created,sanchi,PC-18,explorer,medium
2026-09-11T11:35:26,file_created,admin,PC-12,explorer,medium
2026-09-11T11:35:41,service_start,neha,PC-01,svchost,medium
2026-09-11T11:38:58,file_created,rahul,PC-07,svchost,medium
2026-09-11T11:50:53,file_access,priya,PC-25,explorer,low
2026-09-11T11:54:28,software_update,neha,PC-31,powershell,low
2026-09-11T11:54:55,process_exit,neha,PC-07,chrome,low
2026-09-11T12:10:52,software_update,neha,PC-18,backup,medium
2026-09-11T12:16:03,process_exit,priya,PC-07,explorer,medium
2026-09-11T12:17:50,process_execution,priya,PC-18,svchost,low
2026-09-11T12:18:50,service_start,admin,PC-18,powershell,low
2026-09-11T12:26:39,process_execution,rahul,PC-01,backup,low
2026-09-11T12:27:50,process_exit,amit,PC-25,powershell,low
2026-09-11T12:37:27,process_execution,admin,PC-31,backup,low
2026-09-11T12:40:37,software_update,admin,PC-25,powershell,medium
2026-09-11T12:56:29,file_access,sanchi,PC-25,chrome,low
2026-09-11T12:58:02,file_access,amit,PC-31,svchost,medium
2026-09-11T13:04:13,file_access,amit,PC-31,chrome,low
2026-09-11T13:09:28,process_execution,admin,PC-31,explorer,low
2026-09-11T13:17:16,service_start,admin,PC-01,powershell,low
2026-09-11T13:36:27,service_start,priya,PC-31,explorer,low
2026-09-11T13:36:39,file_created,priya,PC-01,powershell,low
2026-09-11T13:38:53,file_created,admin,PC-12,backup,low
2026-09-11T13:44:07,file_created,rahul,PC-12,svchost,medium
2026-09-11T13:44:34,file_access,neha,PC-12,explorer,low
2026-09-11T13:58:36,process_exit,amit,PC-31,explorer,low
2026-09-11T13:59:26,service_start,admin,PC-25,chrome,medium
2026-09-11T14:00:08,file_access,priya,PC-01,chrome,medium
2026-09-11T14:02:10,process_exit,admin,PC-25,chrome,low
2026-09-11T14:02:53,service_start,sanchi,PC-07,chrome,low
2026-09-11T14:13:40,process_exit,rahul,PC-07,explorer,medium
2026-09-11T14:14:52,process_execution,neha,PC-01,svchost,medium
2026-09-11T14:18:15,file_access,admin,PC-12,backup,medium
2026-09-11T14:26:14,process_exit,amit,PC-31,backup,medium
2026-09-11T14:27:01,file_created,admin,PC-12,backup,low
2026-09-11T14:33:26,process_exit,priya,PC-12,powershell,low
2026-09-11T14:51:26,process_exit,rahul,PC-12,svchost,low
2026-09-11T14:53:09,service_start,amit,PC-18,explorer,low
2026-09-11T14:56:30,file_access,rahul,PC-18,backup,low
2026-09-11T14:59:47,service_start,sanchi,PC-12,chrome,low
2026-09-11T15:00:18,file_access,rahul,PC-25,backup,medium
2026-09-11T15:09:55,process_execution,priya,PC-31,chrome,low
2026-09-11T15:13:38,process_execution,sanchi,PC-18,powershell,medium
2026-09-11T15:22:49,process_execution,priya,PC-07,powershell,low
2026-09-11T15:38:00,file_access,priya,PC-18,chrome,medium
2026-09-11T15:54:01,file_access,neha,PC-25,svchost,low
2026-09-11T15:54:26,process_exit,neha,PC-31,explorer,medium
2026-09-11T15:59:41,file_created,neha,PC-12,explorer,medium
2026-09-11T16:13:59,file_created,priya,PC-25,powershell,medium
2026-09-11T16:23:22,software_update,amit,PC-31,backup,medium
2026-09-11T16:24:00,software_update,rahul,PC-18,explorer,medium
2026-09-11T16:36:17,file_created,neha,PC-25,backup,low
2026-09-11T16:54:41,process_exit,neha,PC-18,backup,medium
2026-09-11T16:56:46,service_start,rahul,PC-18,backup,low
2026-09-11T17:00:00,process_exit,neha,PC-12,svchost,low
2026-09-11T17:14:50,software_update,amit,PC-25,powershell,low
2026-09-11T17:21:25,process_exit,amit,PC-12,svchost,low
2026-09-11T17:25:41,file_access,sanchi,PC-25,svchost,medium
2026-09-11T17:51:06,file_created,neha,PC-25,powershell,medium
2026-09-11T17:54:37,file_access,admin,PC-18,svchost,low
2026-09-11T18:34:30,service_start,admin,PC-12,svchost,low
2026-09-11T18:35:32,service_start,priya,PC-12,backup,low
2026-09-11T18:38:11,service_start,admin,PC-25,powershell,medium
2026-09-11T18:39:46,process_execution,amit,PC-12,explorer,medium
2026-09-11T18:40:52,process_exit,admin,PC-31,backup,low
2026-09-11T18:45:31,file_access,amit,PC-18,chrome,medium
2026-09-11T18:45:52,service_start,neha,PC-25,chrome,low
2026-09-11T18:46:44,file_created,priya,PC-31,chrome,medium
2026-09-11T18:52:05,file_access,neha,PC-25,chrome,low
2026-09-11T18:54:56,service_start,priya,PC-18,backup,low
2026-09-11T19:01:35,process_execution,neha,PC-01,svchost,medium
2026-09-11T19:10:29,process_exit,priya,PC-31,explorer,medium
2026-09-11T19:14:06,service_start,priya,PC-01,chrome,medium
2026-09-11T19:21:21,file_created,admin,PC-12,svchost,low
2026-09-11T19:31:22,file_created,priya,PC-12,explorer,low
2026-09-11T19:40:03,process_exit,priya,PC-25,explorer,low
2026-09-11T19:54:25,software_update,admin,PC-31,backup,medium
2026-09-11T19:56:58,service_start,priya,PC-12,svchost,low
2026-09-11T19:59:46,process_execution,priya,PC-01,backup,medium
2026-09-11T20:00:46,process_exit,amit,PC-31,powershell,medium
2026-09-11T20:02:40,software_update,neha,PC-01,chrome,low
2026-09-11T20:05:42,process_exit,neha,PC-07,svchost,low
2026-09-11T20:14:37,file_created,admin,PC-25,backup,medium
2026-09-11T20:22:43,service_start,rahul,PC-07,backup,low
2026-09-11T20:25:12,service_start,neha,PC-25,explorer,low
2026-09-11T20:28:20,service_start,amit,PC-12,chrome,low
2026-09-11T20:44:56,software_update,rahul,PC-31,svchost,low
2026-09-11T20:46:10,process_exit,rahul,PC-25,powershell,low
2026-09-11T20:50:08,file_access,sanchi,PC-31,backup,medium
2026-09-11T20:55:15,file_created,neha,PC-31,explorer,medium
2026-09-11T21:14:01,process_execution,admin,PC-01,backup,medium
2026-09-11T21:15:39,file_created,admin,PC-31,backup,medium
2026-09-11T21:16:02,service_start,admin,PC-07,powershell,medium
2026-09-11T21:16:17,file_created,amit,PC-18,svchost,low
2026-09-11T21:20:46,process_exit,priya,PC-12,powershell,low
2026-09-11T21:22:43,service_start,priya,PC-12,explorer,medium
2026-09-11T21:37:07,process_execution,neha,PC-18,svchost,medium
2026-09-11T21:38:09,file_created,priya,PC-12,chrome,medium
2026-09-11T21:49:28,software_update,neha,PC-25,svchost,low
2026-09-11T21:53:43,file_access,priya,PC-18,explorer,low
2026-09-11T21:56:27,file_access,amit,PC-12,backup,medium
2026-09-11T22:00:13,file_created,rahul,PC-25,backup,medium
2026-09-11T22:02:23,software_update,neha,PC-31,svchost,low
2026-09-11T22:07:35,process_exit,neha,PC-01,chrome,low
2026-09-11T22:11:54,file_created,sanchi,PC-18,powershell,medium
2026-09-11T22:15:40,process_exit,amit,PC-07,backup,low
2026-09-11T22:20:38,file_created,neha,PC-18,backup,medium
2026-09-11T22:33:57,process_execution,neha,PC-12,svchost,low
2026-09-11T22:34:28,service_start,admin,PC-07,powershell,low
2026-09-11T22:36:38,service_start,admin,PC-31,backup,low
2026-09-11T22:43:13,file_created,sanchi,PC-31,explorer,low
2026-09-11T22:47:57,file_created,admin,PC-01,svchost,medium
2026-09-11T22:48:49,service_start,amit,PC-01,backup,medium
