timestamp,event_type,user,source_ip,source_host,destination_host,action,severity
2026-09-11T10:04:40,outbound_connection,rahul,192.168.1.40,PC-25,SRV-02,remote_service,high
2026-09-11T10:09:20,lateral_movement,rahul,192.168.1.40,PC-25,SRV-02,remote_login,high
2026-09-11T10:09:43,connection_blocked,sanchi,192.168.1.46,PC-31,SRV-01,http,low
2026-09-11T10:13:55,connection_blocked,amit,192.168.1.33,PC-18,SRV-01,ssh,low
2026-09-11T10:14:26,http_request,rahul,192.168.1.40,PC-25,SRV-03,http,medium
2026-09-11T10:14:30,database_connection,rahul,10.0.0.2,SRV-02,DB-01,db_connect,high
2026-09-11T10:20:17,dns_query,rahul,192.168.1.11,PC-01,SRV-03,tcp,low
2026-09-11T10:26:57,http_request,rahul,192.168.1.25,PC-12,SRV-02,dns,low
2026-09-11T10:34:12,connection_blocked,priya,192.168.1.17,PC-07,SRV-03,tcp,low
2026-09-11T10:53:39,dns_query,admin,192.168.1.33,PC-18,SRV-01,http,low
2026-09-11T10:58:35,connection_blocked,amit,192.168.1.46,PC-31,SRV-02,dns,medium
2026-09-11T11:03:46,connection_blocked,admin,192.168.1.46,PC-31,SRV-03,tcp,medium
2026-09-11T11:07:53,ssh_connection,priya,192.168.1.33,PC-18,SRV-02,dns,low
2026-09-11T11:22:55,connection_blocked,amit,192.168.1.11,PC-01,SRV-01,dns,low
2026-09-11T11:40:21,http_request,rahul,192.168.1.11,PC-01,SRV-03,http,low
2026-09-11T11:45:58,connection_blocked,priya,192.168.1.11,PC-01,SRV-02,dns,low
2026-09-11T11:57:18,connection_blocked,rahul,192.168.1.11,PC-01,SRV-02,ssh,medium
2026-09-11T12:03:18,dns_query,neha,192.168.1.17,PC-07,SRV-03,ssh,medium
2026-09-11T12:09:30,connection_blocked,priya,192.168.1.25,PC-12,SRV-03,dns,low
2026-09-11T12:14:54,connection_blocked,amit,192.168.1.40,PC-25,SRV-03,dns,low
2026-09-11T12:26:44,outbound_connection,rahul,192.168.1.25,PC-12,SRV-01,http,medium
2026-09-11T12:29:26,connection_allowed,amit,192.168.1.40,PC-25,SRV-03,dns,medium
2026-09-11T12:43:28,connection_allowed,admin,192.168.1.40,PC-25,SRV-03,dns,low
2026-09-11T12:43:48,connection_blocked,priya,192.168.1.11,PC-01,SRV-01,tcp,low
2026-09-11T13:02:37,ssh_connection,neha,192.168.1.25,PC-12,SRV-01,dns,medium
2026-09-11T13:18:39,connection_allowed,admin,192.168.1.40,PC-25,SRV-02,dns,medium
